Instancia,Metodo,Custo,Tempo (s),Qtd Rotas,Qtd Veiculos,Intensificacao,Diversificacao,Solucao
instance3.vrp,Savings,54462.64702062005,0.04,59,59,,,"[[1, 120, 179, 273], [2, 73, 74, 264, 293, 298], [3, 183, 291], [4, 137, 266], [5, 43, 93, 151, 269, 302], [6, 31, 134, 150, 163, 189, 201, 239, 257], [7, 17, 18, 80, 89, 178, 180, 295], [8, 104, 173, 234, 247], [9, 91, 196, 281], [10, 84, 197, 275, 297, 300], [11, 72, 130, 140, 144, 159, 185], [12, 14, 39, 88, 270], [13, 100, 147], [15, 230, 278, 282], [16, 60, 138, 166, 210, 211, 212], [19, 127, 142, 160, 258], [20, 29, 65, 82, 214, 283, 299], [21, 122, 143, 202, 216], [22, 48, 198, 237, 242, 294], [23, 85, 268], [24, 121, 171, 186, 223, 277], [25, 50, 112, 162, 289], [26, 63, 114, 135, 170, 213, 226, 250, 271], [27, 97, 176, 181, 286], [28, 57, 70, 116, 194, 249], [30, 161, 175, 260, 301], [32, 139, 146, 208, 255], [33, 45, 87, 92, 141, 191, 228, 251], [34, 36, 86, 113, 235, 279], [35, 243, 290], [37, 109, 124, 203, 240, 241], [38, 79, 182, 248, 262, 272], [40, 252], [41, 83, 90, 219, 276], [42, 49, 81, 288], [44, 207, 215, 280, 285], [46, 145, 156, 192, 246], [47, 78, 168, 245, 284], [51, 56, 107, 217, 238], [52, 96, 98, 187, 254, 267, 274], [53, 167, 199, 218, 227], [54, 193, 205], [55, 66, 133, 136, 190, 200], [58, 174, 221], [59, 231, 233], [61, 164, 188, 195, 256, 263, 265], [62, 154, 244], [64, 68, 76, 94, 118, 224, 232], [67, 222], [69, 292], [71, 103, 128, 129, 152, 153, 169, 184, 261], [75, 101, 149, 165, 236], [77, 111, 115, 177], [95, 102, 155, 229], [99, 119, 126, 132, 225, 259], [105, 123, 125, 172, 253, 287], [106, 131, 157, 206], [108, 148, 158, 209], [110, 117, 204, 220, 296]]"
instance3.vrp,Insertion,30418.13044310407,0.72,21,21,,,"[[205, 287, 158, 108, 148, 33, 299, 58, 285, 7, 273, 277, 209, 185, 99, 147, 233, 216, 1], [55, 206, 30, 193, 54, 212, 105, 51, 20, 223, 221, 174, 215, 171, 280, 179, 25, 110, 120, 24, 111, 159, 220, 296, 144, 271], [257, 119, 64, 239, 249, 77, 28, 244, 154, 189, 234, 201, 68, 132, 225, 100, 294, 259, 13], [302, 211, 34, 274, 123, 125, 172, 236, 96, 165, 199, 260, 167, 301, 227, 52, 61], [62, 70, 116, 57, 134, 284, 226, 114, 104, 31, 194, 6, 121, 250], [149, 75, 101, 19, 142, 95, 102, 217, 107, 56, 272, 155, 238, 229, 17], [204, 71, 117, 289, 44, 207, 2, 81, 49, 18, 261, 288, 42, 186], [290, 11, 21, 286, 122, 27, 3, 282, 143, 291, 133, 136, 202, 190, 200, 246, 131, 106], [177, 115, 237, 198, 48, 300, 197, 231, 59, 8, 76, 94, 242, 22], [12, 103, 213, 26, 63, 150, 84, 245, 170, 50, 112, 162, 128], [218, 292, 69, 188, 164, 203, 9, 124, 109, 37, 175, 161, 53], [184, 295, 73, 178, 264, 89, 180, 135, 78, 168, 10, 173, 163, 47, 247], [153, 248, 276, 4, 182, 266, 79, 38, 262, 45, 129], [210, 5, 279, 166, 113, 267, 235, 43, 93, 127, 90, 138, 16, 60, 86, 36], [146, 169, 29, 65, 82, 137, 270, 214, 283, 80, 293, 298], [67, 258, 228, 191, 141, 83, 41, 87, 92, 251, 222], [74, 39, 88, 14, 219, 160, 269, 151, 187, 254, 196, 98, 253, 152], [241, 240, 263, 256, 195, 255, 139, 208, 91, 281, 265], [66, 156, 145, 278, 15, 252, 181, 97, 183, 192, 23, 268, 85, 157, 32], [275, 297, 35, 243, 232, 224, 118, 126, 140, 130, 176, 40, 72], [230, 46]]"
instance3.vrp,RouteFirstClusterSecond,26858.23786398502,0.01,21,21,,,"[[1, 216, 55, 206, 54, 193, 287, 158, 212, 108, 148, 209, 205, 277, 58, 285, 7], [273, 159, 296, 144, 220, 120, 110, 24, 250, 249, 77, 111, 28, 244, 154, 62, 194], [6, 31, 134, 57, 116, 70, 189, 201, 247, 68, 132, 22, 115, 177, 147, 100], [259, 294, 119, 257, 64, 239, 225, 13, 99, 185, 233, 271, 179, 25, 280, 171, 215, 42, 288], [2, 81, 49, 261, 184, 169, 29, 38, 79, 266, 182, 4], [248, 153, 262, 45, 129, 272, 155, 56, 217, 107], [102, 95, 67, 222, 251, 41, 92, 87, 152, 137], [65, 82, 214, 270, 14, 74, 12, 264, 178, 73, 89, 180, 50], [112, 162, 103, 128, 71, 117, 289, 17, 207, 44, 295, 298], [293, 18, 80, 283, 88, 39, 170, 213, 150, 114, 63, 26], [284, 226, 121, 204, 223, 20, 221, 174, 299, 33, 51, 105, 229, 238, 149, 75], [101, 36, 16, 86, 60, 138, 43, 166, 113, 125, 279, 5, 210, 34], [274, 211, 302, 52, 61, 227, 30, 301, 53, 167, 260, 161, 175, 37], [109, 124, 164, 203, 9, 263, 256, 196, 281, 91], [195, 208, 139, 146, 255, 240, 241, 69, 292, 218, 32, 188, 199, 96], [236, 165, 123, 265, 98, 267, 172, 235, 253, 269, 151, 254, 187, 19, 127, 93, 142, 160], [191, 228, 258, 141, 276, 83, 90, 219, 186, 163, 47, 234, 173, 84, 10, 168, 78, 135], [245, 104, 231, 59, 8, 76, 48, 94, 198, 237, 242, 118, 224, 290], [300, 35, 297, 275, 197, 243, 232, 126, 140, 11, 200, 190, 202, 136], [291, 143, 282, 27, 97, 3, 183, 192, 156, 278, 252, 40, 181, 122], [21, 286, 133, 246, 131, 66, 23, 85, 268, 46, 145, 230, 15, 176, 130, 72, 106, 157]]"
instance3.vrp,TabuSearch_Simples,192259.19431021286,1803.53,277,277,False,False,"[[1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [27, 97, 278, 156, 46, 145, 230, 15, 176, 130], [16], [17], [18], [19], [20], [21], [22], [24], [25], [26], [28], [29], [30], [31], [32], [33], [34], [36], [37], [38], [39], [122, 181, 252, 40], [41], [42], [43], [44], [45], [47], [48], [49], [50], [51], [52], [53], [54], [55], [56], [57], [58], [59], [60], [61], [62], [63], [64], [65], [66], [67], [68], [69], [70], [71], [72], [73], [74], [75], [76], [77], [78], [79], [80], [81], [82], [83], [84], [86], [87], [88], [89], [219, 90], [91], [92], [93], [94], [95], [96], [98], [99], [100], [101], [102], [103], [104], [105], [106], [107], [108], [109], [110], [111], [112], [113], [114], [115], [116], [117], [118], [119], [120], [121], [123], [124], [125], [126], [127], [128], [129], [131], [132], [133], [134], [135], [136], [137], [138], [140], [141], [143], [144], [139, 146], [147], [148], [149], [150], [151], [152], [153], [154], [155], [157], [158], [159], [142, 160], [161], [162], [163], [164], [165], [166], [167], [168], [169], [170], [171], [172], [173], [174], [175], [177], [178], [179], [180], [182], [3, 183, 192], [184], [185], [186], [187], [188], [189], [190], [191], [193], [194], [195], [196], [198], [199], [200], [201], [202], [203], [204], [205], [206], [207], [208], [209], [210], [211], [212], [213], [214], [215], [216], [217], [218], [220], [221], [222], [223], [224], [225], [226], [227], [228], [229], [231], [233], [234], [235], [236], [237], [238], [239], [240], [241], [242], [290, 35, 243, 232], [244], [245], [246], [247], [248], [249], [250], [251], [253], [254], [255], [256], [257], [258], [259], [260], [261], [262], [263], [264], [265], [266], [267], [23, 85, 268], [269], [270], [271], [272], [273], [274], [300, 297, 197, 275], [276], [277], [279], [280], [281], [282], [283], [284], [285], [286], [287], [288], [289], [291], [292], [293], [294], [295], [296], [298], [299], [301], [302]]"
instance3.vrp,TabuSearch_Intensificacao,191265.09779094253,1865.91,276,276,True,False,"[[1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [27, 97, 278, 156, 46, 145, 230, 15, 176, 130], [16], [17], [18], [19], [20], [21], [22], [24], [25], [26], [28], [29], [30], [31], [32], [33], [34], [36], [37], [38], [122, 181, 252, 40], [41], [42], [43], [44], [45], [47], [48], [49], [50], [51], [52], [53], [54], [55], [56], [57], [58], [59], [60], [61], [62], [63], [64], [65], [66], [67], [68], [69], [70], [71], [72], [73], [74], [75], [76], [77], [78], [79], [80], [81], [82], [83], [84], [86], [87], [39, 88], [89], [219, 90], [91], [92], [93], [94], [95], [96], [98], [99], [100], [101], [102], [103], [104], [105], [106], [107], [108], [109], [110], [111], [112], [113], [114], [115], [116], [117], [118], [119], [120], [121], [123], [124], [125], [126], [127], [128], [129], [131], [132], [133], [134], [135], [136], [137], [138], [140], [141], [143], [144], [139, 146], [147], [148], [149], [150], [151], [152], [153], [154], [155], [157], [158], [159], [142, 160], [161], [162], [163], [164], [165], [166], [167], [168], [169], [170], [171], [172], [173], [174], [175], [177], [178], [179], [180], [182], [3, 183, 192], [184], [185], [186], [187], [188], [189], [190], [191], [193], [194], [195], [196], [198], [199], [200], [201], [202], [203], [204], [205], [206], [207], [208], [209], [210], [211], [212], [213], [214], [215], [216], [217], [218], [220], [221], [222], [223], [224], [225], [226], [227], [228], [229], [231], [233], [234], [235], [236], [237], [238], [239], [240], [241], [242], [290, 35, 243, 232], [244], [245], [246], [247], [248], [249], [250], [251], [253], [254], [255], [256], [257], [258], [259], [260], [261], [262], [263], [264], [265], [266], [267], [23, 85, 268], [269], [270], [271], [272], [273], [274], [300, 297, 197, 275], [276], [277], [279], [280], [281], [282], [283], [284], [285], [286], [287], [288], [289], [291], [292], [293], [294], [295], [296], [298], [299], [301], [302]]"
instance3.vrp,TabuSearch_Diversificacao,191265.09779094253,1835.42,276,276,False,True,"[[1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [27, 97, 278, 156, 46, 145, 230, 15, 176, 130], [16], [17], [18], [19], [20], [21], [22], [24], [25], [26], [28], [29], [30], [31], [32], [33], [34], [36], [37], [38], [122, 181, 252, 40], [41], [42], [43], [44], [45], [47], [48], [49], [50], [51], [52], [53], [54], [55], [56], [57], [58], [59], [60], [61], [62], [63], [64], [65], [66], [67], [68], [69], [70], [71], [72], [73], [74], [75], [76], [77], [78], [79], [80], [81], [82], [83], [84], [86], [87], [39, 88], [89], [219, 90], [91], [92], [93], [94], [95], [96], [98], [99], [100], [101], [102], [103], [104], [105], [106], [107], [108], [109], [110], [111], [112], [113], [114], [115], [116], [117], [118], [119], [120], [121], [123], [124], [125], [126], [127], [128], [129], [131], [132], [133], [134], [135], [136], [137], [138], [140], [141], [143], [144], [139, 146], [147], [148], [149], [150], [151], [152], [153], [154], [155], [157], [158], [159], [142, 160], [161], [162], [163], [164], [165], [166], [167], [168], [169], [170], [171], [172], [173], [174], [175], [177], [178], [179], [180], [182], [3, 183, 192], [184], [185], [186], [187], [188], [189], [190], [191], [193], [194], [195], [196], [198], [199], [200], [201], [202], [203], [204], [205], [206], [207], [208], [209], [210], [211], [212], [213], [214], [215], [216], [217], [218], [220], [221], [222], [223], [224], [225], [226], [227], [228], [229], [231], [233], [234], [235], [236], [237], [238], [239], [240], [241], [242], [290, 35, 243, 232], [244], [245], [246], [247], [248], [249], [250], [251], [253], [254], [255], [256], [257], [258], [259], [260], [261], [262], [263], [264], [265], [266], [267], [23, 85, 268], [269], [270], [271], [272], [273], [274], [300, 297, 197, 275], [276], [277], [279], [280], [281], [282], [283], [284], [285], [286], [287], [288], [289], [291], [292], [293], [294], [295], [296], [298], [299], [301], [302]]"
instance3.vrp,TabuSearch_Completo,191265.09779094253,1849.97,276,276,True,True,"[[1], [2], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [27, 97, 278, 156, 46, 145, 230, 15, 176, 130], [16], [17], [18], [19], [20], [21], [22], [24], [25], [26], [28], [29], [30], [31], [32], [33], [34], [36], [37], [38], [122, 181, 252, 40], [41], [42], [43], [44], [45], [47], [48], [49], [50], [51], [52], [53], [54], [55], [56], [57], [58], [59], [60], [61], [62], [63], [64], [65], [66], [67], [68], [69], [70], [71], [72], [73], [74], [75], [76], [77], [78], [79], [80], [81], [82], [83], [84], [86], [87], [39, 88], [89], [219, 90], [91], [92], [93], [94], [95], [96], [98], [99], [100], [101], [102], [103], [104], [105], [106], [107], [108], [109], [110], [111], [112], [113], [114], [115], [116], [117], [118], [119], [120], [121], [123], [124], [125], [126], [127], [128], [129], [131], [132], [133], [134], [135], [136], [137], [138], [140], [141], [143], [144], [139, 146], [147], [148], [149], [150], [151], [152], [153], [154], [155], [157], [158], [159], [142, 160], [161], [162], [163], [164], [165], [166], [167], [168], [169], [170], [171], [172], [173], [174], [175], [177], [178], [179], [180], [182], [3, 183, 192], [184], [185], [186], [187], [188], [189], [190], [191], [193], [194], [195], [196], [198], [199], [200], [201], [202], [203], [204], [205], [206], [207], [208], [209], [210], [211], [212], [213], [214], [215], [216], [217], [218], [220], [221], [222], [223], [224], [225], [226], [227], [228], [229], [231], [233], [234], [235], [236], [237], [238], [239], [240], [241], [242], [290, 35, 243, 232], [244], [245], [246], [247], [248], [249], [250], [251], [253], [254], [255], [256], [257], [258], [259], [260], [261], [262], [263], [264], [265], [266], [267], [23, 85, 268], [269], [270], [271], [272], [273], [274], [300, 297, 197, 275], [276], [277], [279], [280], [281], [282], [283], [284], [285], [286], [287], [288], [289], [291], [292], [293], [294], [295], [296], [298], [299], [301], [302]]"
