Instancia,Metodo,Custo,Tempo (s),Qtd Rotas,Qtd Veiculos,Intensificacao,Diversificacao,Solucao
instance5.vrp,Savings,163791.18667423466,0.13,95,95,,,"[[1, 217], [2, 226, 315, 432, 435], [3, 52, 120, 149, 195, 368, 409, 445], [4, 17, 19, 153, 372, 433, 501], [5, 32, 39, 70, 224, 310, 360, 450, 470], [6, 275, 298, 345, 442], [7, 47, 399, 480, 483], [8, 60, 116, 378, 437], [9, 403, 414, 490], [10, 147, 164, 271, 460], [11, 85, 234, 416, 425, 454, 486], [12, 184, 351, 392, 417], [13, 37, 306, 431, 472], [14, 180, 357, 358], [15, 122, 262, 419, 473], [16, 376, 466, 495], [18, 22, 38, 223, 461], [20, 51, 109, 303, 390, 420], [21, 56, 107, 121, 188, 404, 449, 452], [23, 84, 283, 441], [24, 131, 235, 401, 406, 429], [25, 112, 263, 456], [26, 186, 344, 411, 476], [27, 72, 484], [28, 86, 222, 229, 299, 468], [29, 190, 205, 208, 238, 257, 324, 335, 362], [30, 102, 261, 300, 369, 389], [31, 35, 328, 349, 424, 487], [33, 108, 243, 277, 366, 421], [34, 115, 279], [36, 68, 240, 465, 467, 491], [40, 318, 482, 485], [41, 55, 62, 133, 440, 444, 463], [42, 92, 353, 407], [43, 74, 123, 166, 265, 497], [44, 66, 373, 418, 479], [45, 48, 267, 489], [46, 64, 99, 145, 158, 285, 400], [49, 58, 179, 231, 286, 384, 464], [50, 207, 218, 251, 266, 274, 309, 493], [53, 132, 142, 187, 359], [54, 157, 165, 297, 428, 438], [57, 197, 321, 355], [59, 162, 171, 446], [61, 176, 242, 361, 379, 500], [63, 90, 278, 323, 339, 354], [65, 210, 294, 481, 498], [67, 96, 314, 322, 447], [69, 136, 352, 393, 423], [71, 154, 301, 469, 496], [73, 317, 395, 448], [75, 81, 118, 128, 319, 327, 382, 462, 488], [76, 216, 308, 415], [77, 198, 340, 350], [78, 396], [79, 174, 371], [80, 111, 241, 264, 365], [82, 170, 258, 426, 430], [83, 185, 253, 363, 436], [87, 88, 135, 237, 402, 494], [89, 168, 269, 311, 346, 377], [91, 113, 117, 137, 273, 291, 337, 381, 383, 388, 391], [93, 260, 296, 348, 394, 458], [94, 201, 209, 244, 289], [95, 140, 245, 295, 451, 455], [97, 233, 312, 370, 443], [98, 178, 193, 196, 256, 304, 374], [100, 183, 250, 305, 329, 380], [101, 138, 159, 313, 364, 375, 387], [103, 161, 270, 471], [104, 221, 246, 333, 398], [105, 215, 307], [106, 172, 248, 410, 427, 475], [110, 320, 457], [114, 152, 477], [119, 230, 247, 282, 478], [124, 139, 236, 288, 341, 439], [125, 206, 228, 249, 326, 334, 343], [126, 130, 150, 330, 492], [127, 160, 169, 239, 284, 331, 356], [129, 220, 292, 338, 405], [134, 167, 177, 211, 342, 413, 474], [141, 146, 227, 252, 316, 325], [143, 212, 259, 385, 412], [144, 191, 194, 287, 499], [148, 199, 386], [151, 156, 175, 268, 281, 290], [155, 214, 422], [163, 203, 219, 408, 434], [173, 189, 225, 280, 397], [181, 255, 302, 336], [182, 332, 459], [192, 202, 213, 293, 453], [200, 232, 254, 272, 276], [204, 347, 367]]"
instance5.vrp,Insertion,72325.07252891595,1.91,39,39,,,"[[415, 244, 308, 355, 98, 304, 374, 204, 347, 209, 201, 367, 94, 1], [336, 217, 499, 459, 287, 332, 182, 396, 78, 325, 434, 460, 7], [474, 302, 475, 141, 146, 316, 252, 346, 227, 106, 45, 430, 289], [103, 76, 155, 214, 422, 216, 406, 476, 411, 193, 178, 8, 429], [173, 10, 271, 164, 269, 280, 89, 168, 225, 397, 189, 191, 144], [181, 69, 256, 28, 350, 198, 77, 283, 84, 54, 255, 441, 23], [386, 82, 199, 148, 172, 48, 489, 267, 485, 248, 427, 377, 194], [340, 468, 438, 157, 165, 134, 86, 222, 24, 196, 57, 197, 321], [299, 3, 229, 359, 52, 297, 167, 258, 426, 470, 428, 413, 170], [452, 445, 187, 409, 120, 211, 342, 496, 482, 410, 101, 387, 311], [151, 356, 30, 192, 200, 202, 156, 232, 126, 380, 435, 439, 125], [401, 235, 131, 366, 421, 107, 121, 21, 132, 142, 423, 5, 53], [449, 404, 18, 188, 368, 149, 195, 177, 33, 40, 318, 138, 163], [161, 60, 136, 32, 70, 22, 39, 56, 352, 393, 270, 471, 26], [417, 127, 457, 34, 169, 115, 279, 160, 129, 405, 50, 42, 276], [203, 159, 71, 108, 450, 469, 154, 375, 313, 364, 219, 408, 147], [472, 354, 190, 13, 272, 379, 500, 389, 488, 213, 254, 29, 479], [437, 116, 378, 38, 223, 461, 224, 310, 360, 243, 277, 344, 186], [398, 206, 93, 284, 331, 293, 230, 119, 239, 453, 41, 20, 124], [105, 300, 215, 307, 44, 290, 339, 208, 205, 238, 335, 362, 301], [139, 236, 329, 358, 343, 100, 183, 46, 341, 67, 87, 110, 473], [320, 388, 207, 65, 218, 251, 266, 309, 274, 210, 493, 392, 391], [175, 281, 268, 412, 385, 448, 43, 246, 333, 59, 221, 486, 104], [394, 436, 491, 260, 348, 296, 492, 463, 282, 478, 247, 228, 458], [114, 220, 292, 407, 498, 294, 481, 184, 12, 88, 97, 442, 338], [288, 95, 305, 443, 334, 180, 158, 15, 64, 14, 357, 250, 55], [102, 395, 75, 4, 212, 259, 143, 74, 253, 363, 185, 446, 83], [464, 361, 31, 487, 242, 61, 49, 497, 174, 79, 371, 369, 261], [145, 314, 122, 262, 455, 112, 322, 25, 233, 351, 96, 447, 99], [353, 345, 6, 494, 275, 298, 399, 47, 480, 92, 483, 152, 477], [2, 419, 432, 400, 381, 51, 312, 383, 370, 140, 420, 326, 249], [91, 113, 36, 130, 117, 137, 80, 264, 166, 123, 365, 171, 162], [73, 317, 462, 382, 327, 81, 433, 265, 501, 490, 384, 418, 495], [109, 390, 337, 291, 330, 150, 273, 62, 303, 245, 285, 27, 135], [111, 467, 465, 240, 454, 425, 153, 372, 319, 11, 241, 19, 17], [324, 323, 373, 424, 466, 278, 63, 306, 37, 66, 231, 286, 176], [263, 402, 237, 456, 451, 295, 315, 484, 72, 226, 444, 440, 133], [414, 58, 179, 35, 328, 349, 9, 403, 85, 416, 234, 128, 118], [68, 257, 376, 16, 90, 431]]"
instance5.vrp,RouteFirstClusterSecond,74542.32005917745,0.02,39,39,,,"[[1, 94, 415, 367, 201, 244, 308, 347, 209, 355, 204, 374, 304, 181], [256, 28, 350, 77, 283, 84, 255, 54, 386, 82, 199, 148, 172], [346, 252, 227, 316, 146, 106, 45, 141, 475, 302, 474, 430, 23], [441, 69, 321, 57, 197, 196, 24, 222, 86, 340, 198, 134, 468], [165, 157, 438, 428, 170, 413, 489, 267, 482, 48, 485, 248, 427], [410, 311, 387, 101, 269, 163, 164, 271, 10, 191, 189, 280, 397], [225, 89, 168, 377, 194, 182, 332, 287, 459, 499, 325, 434, 78], [396, 460, 144, 173, 147, 408, 219, 203, 138, 40, 318, 33, 177], [368, 149, 195, 449, 188, 404, 18, 366, 421, 107, 121, 56, 39], [22, 70, 243, 277, 108, 450, 71, 469, 301, 360, 310, 224, 461], [223, 38, 378, 116, 136, 352, 393, 270, 161, 471, 60, 186, 344], [26, 411, 476, 406, 193, 178, 98, 8, 103, 429, 76, 216, 155], [214, 422, 5, 53, 132, 21, 142, 235, 401, 131, 187, 452, 445], [359, 229, 299, 3, 52, 297, 470, 426, 167, 258, 496, 342, 120], [409, 211, 423, 32, 437, 154, 375, 364, 159, 313, 362, 335, 205], [238, 208, 339, 190, 13, 272, 500, 389, 379, 488, 156, 202, 254], [232, 126, 200, 192, 30, 356, 151, 125, 380, 435, 439, 417, 127], [457, 34, 169, 115, 279, 160, 129, 50, 405, 391, 320, 110, 87], [67, 341, 46, 343, 100, 183, 64, 180, 14, 357, 334, 443, 305], [463, 492, 282, 478, 247, 228, 260, 491, 394, 436, 83, 59, 333], [363, 253, 185, 446, 162, 171, 91, 113, 117, 137, 80, 123, 365], [212, 73, 4, 75, 317, 462, 382, 265, 433, 327, 81, 118, 319], [11, 372, 153, 425, 454, 241, 19, 17, 166, 264, 111, 467, 465], [240, 68, 133, 440, 444, 273, 291, 337, 62, 303, 390, 109, 381], [400, 285, 432, 262, 419, 122, 455, 112, 322, 314, 25, 96, 233], [351, 184, 12, 97, 88, 210, 274, 309, 266, 493, 392, 388, 218], [251, 65, 207, 338, 498, 292, 220, 407, 477, 152, 483, 92, 353], [480, 47, 399, 298, 345, 6, 275, 494, 135, 27, 315, 295, 451], [456, 263, 237, 402, 484, 72, 226, 245, 312, 383, 370, 420, 140], [51, 326, 249, 296, 348, 246, 43, 74, 143, 259, 395, 448, 412], [268, 281, 221, 486, 104, 175, 213, 398, 206, 239, 284, 93, 331], [453, 119, 230, 293, 236, 329, 358, 55, 250, 95, 288, 15, 158], [2, 145, 447, 99, 442, 481, 294, 114, 42, 276, 124, 20, 41], [473, 139, 458, 102, 261, 369, 371, 464, 300, 79, 361, 31, 242], [487, 418, 495, 323, 324, 257, 63, 278, 306, 37, 466, 66, 424], [373, 176, 286, 231, 179, 403, 9, 35, 328, 349, 376, 16, 90], [431, 61, 49, 384, 490, 414, 58, 128, 85, 234, 416, 150, 330], [36, 130, 501, 497, 174, 385, 105, 307, 44, 215, 290, 29, 479], [354, 472, 7, 217, 336, 289]]"
