Instancia,Metodo,Custo,Tempo (s),Qtd Rotas,Qtd Veiculos,Intensificacao,Diversificacao,Solucao
instance8.vrp,Savings,227653.64473783755,0.4,126,126,,,"[[1, 351, 365, 369, 498, 735], [2, 37, 223, 317, 327, 410, 565, 625, 719, 757], [3, 148, 162, 542, 608, 712], [4, 18, 75, 99, 214, 361, 469, 601, 629, 689], [5, 227, 243, 510, 550, 600, 752], [6, 51, 70, 219, 527, 614, 715, 782], [7, 9, 234, 366, 413, 543, 568, 594, 706], [8, 16, 92, 660, 717], [10, 134, 268, 440, 465, 521, 671], [11, 61, 213, 548, 598, 794], [12, 266, 353, 397, 430, 489, 507], [13, 38, 138, 442, 599, 612, 795], [14, 71, 179, 218, 419, 452, 473, 575, 665], [15, 33, 180, 384, 574, 636, 687, 738, 771], [17, 657, 692, 781, 796], [19, 27, 117, 651, 662, 695, 785], [20, 93, 602, 732], [21, 129, 222, 357, 390, 539, 684, 703, 751], [22, 74, 95, 480, 641, 643, 664, 783, 786], [23, 431, 446, 451, 518, 536, 554], [24, 25, 31, 230, 546, 772, 776], [26, 108, 132, 297, 585, 702, 745], [28, 276, 313, 331, 450, 512], [29, 207, 310, 321, 398, 529, 741], [30, 437, 579, 704], [32, 136, 373, 417, 578, 755], [34, 48, 178, 439, 453, 773], [35, 64, 637, 708], [36, 90, 176, 285, 298, 537, 677, 784], [39, 307, 429, 515, 541, 742, 744], [40, 462, 798], [41, 55, 183, 667, 721, 774, 788], [42, 232, 347, 425, 501, 571, 596, 691], [43, 106, 110, 635], [44, 52, 289, 391, 560, 670], [45, 78, 210, 517, 553, 644, 793], [46, 251, 375, 557, 582, 685], [47, 168, 199, 422, 495, 613], [49, 220, 493, 581, 756], [50, 69, 237, 352, 663, 676, 678, 693, 753], [53, 466, 606, 609], [54, 411, 540, 681, 722], [56, 123, 166, 208, 445, 590, 624, 683], [57, 699, 750], [58, 260, 522, 592, 765], [59, 83, 277, 513, 634], [60, 86, 293, 394, 556, 647], [62, 72, 224, 236, 323, 492, 532, 562, 566, 653], [63, 173, 212, 255, 296, 468, 533, 760], [65, 444, 464, 563], [66, 146, 304, 610, 729, 736, 790], [67, 290, 383, 656, 748, 778], [68, 766], [73, 346, 403, 478, 620], [76, 171, 185, 508, 572, 697], [77, 137, 423, 591, 607, 700, 779, 797], [79, 111, 127, 603, 696, 799], [80, 170, 294, 399, 428, 538, 690, 727], [81, 165, 302, 639, 728, 791], [82, 144, 156, 421, 467, 491, 497, 588, 626, 672], [84, 189, 341, 359, 511, 569, 730, 759], [85, 128, 528, 561, 661], [87, 209, 595, 777], [88, 135, 152, 228, 253, 385, 621, 645, 646], [89, 184, 198, 229, 282, 731, 734, 775], [91, 580, 627, 655, 698], [94, 97, 102, 115, 126, 254, 652, 725, 763], [96, 103, 275, 322, 332, 484, 494], [98, 120, 549, 623, 640, 714, 746], [100, 158, 395, 530, 780], [101, 206, 424, 519, 618], [104, 109, 116, 147, 299, 754], [105, 215, 496, 502, 545, 648], [107, 122, 172, 233, 308, 338, 441, 482, 674, 769, 787], [112, 244, 364, 458, 800], [113, 169, 326, 426, 504, 679], [114, 143, 342, 638, 768], [118, 221, 415, 531, 573, 586], [119, 316, 377, 701, 710, 716], [121, 242, 409, 459, 589, 604, 682, 767], [124, 523, 544, 631, 649, 658, 713], [125, 193, 309, 503, 724], [130, 201, 668, 761], [131, 283, 583, 764], [133, 231, 434, 505, 619, 747], [139, 622, 770], [140, 151, 438, 443, 487, 520, 659], [141, 250, 258, 325, 405, 680], [142, 300, 320, 337, 386, 470, 688, 743], [145, 161, 576, 673, 726, 758], [149, 182, 336, 723, 740], [150, 256, 269, 287, 387, 650], [153, 202, 262, 284, 371, 396, 448, 455, 477, 525, 642], [154, 203, 372, 393, 475, 559, 628], [155, 376, 433, 564], [157, 160, 174, 265, 792], [159, 239, 288, 314, 319, 343, 360, 374, 378, 389, 407, 509], [163, 167, 499, 526, 552, 711], [164, 195, 354, 367, 597, 686], [175, 204, 280, 329, 605, 720], [177, 217, 633, 749], [181, 456, 666, 705], [186, 447, 472, 535, 632, 669], [187, 192, 196, 295, 436, 476, 555, 737, 762], [188, 245, 279, 330, 379, 388, 486, 577], [190, 240, 247, 259, 270, 349, 402, 479, 611, 654], [191, 197, 292, 463, 485, 551, 558, 789], [194, 225, 272, 416, 587], [200, 211, 382, 454, 457], [205, 261, 355, 427, 718, 733], [216, 315, 339, 381, 616, 630], [226, 328, 363, 461], [235, 257, 350, 358, 368, 474, 524, 534, 593, 615], [238, 252, 333, 490, 570], [241, 274, 488, 739], [246, 263, 286, 305, 324, 392, 412, 617], [248, 318, 449, 471, 514, 567], [249, 264, 356, 362, 547, 675, 707], [267, 312, 370, 435, 709], [271, 281, 414, 506, 516, 584], [273, 344, 400, 401, 406], [278, 306, 481, 500], [291, 348, 418], [301, 303, 345, 380, 408, 432, 460, 483, 694], [311, 334, 340, 404], [335, 420]]"
instance8.vrp,Insertion,78512.28799980563,10.29,40,40,,,"[[691, 107, 12, 707, 739, 200, 226, 698, 787, 722, 114, 406, 190, 669, 94, 759, 584, 43, 785, 311, 1], [351, 273, 797, 654, 401, 628, 344, 157, 741, 483, 694, 104, 125, 301, 369, 365, 238, 335, 420, 735], [159, 743, 96, 334, 400, 461, 98, 267, 404, 19, 14, 235, 500, 418, 140, 567, 554, 278, 188, 756], [122, 509, 507, 76, 266, 29, 187, 211, 389, 786, 154, 454, 207, 529, 711, 66, 460, 790, 382, 457], [36, 47, 155, 4, 65, 444, 168, 10, 613, 705, 782, 646, 564, 376, 765, 671, 464, 42, 563, 498], [80, 149, 274, 241, 240, 263, 632, 642, 97, 153, 648, 435, 328, 746, 709, 775, 363, 378, 488, 246], [348, 291, 28, 306, 481, 276, 248, 512, 34, 536, 514, 449, 450, 62, 318, 331, 615, 313, 340, 271], [303, 407, 594, 489, 596, 430, 60, 7, 345, 380, 408, 432, 675, 796, 783, 397, 586, 353, 706, 570], [611, 727, 259, 247, 87, 374, 360, 479, 175, 286, 77, 559, 617, 412, 44, 788, 321, 398, 683, 670], [704, 71, 659, 179, 620, 257, 516, 370, 281, 314, 319, 755, 24, 525, 142, 202, 288, 239, 794, 312], [495, 199, 645, 666, 456, 784, 778, 394, 293, 86, 556, 164, 686, 181, 647, 490, 252, 571, 35, 433], [697, 310, 163, 547, 362, 572, 679, 113, 724, 733, 573, 205, 264, 356, 543, 233, 333, 172, 568, 249], [689, 6, 134, 131, 465, 677, 501, 18, 195, 90, 629, 88, 425, 440, 232, 764, 268, 58, 422, 521], [471, 653, 49, 478, 403, 443, 577, 486, 279, 110, 635, 438, 151, 346, 224, 245, 72, 350, 773, 73], [150, 392, 305, 779, 270, 349, 630, 402, 103, 494, 343, 535, 300, 753, 320, 105, 665, 414, 506, 716], [192, 15, 769, 674, 482, 196, 762, 540, 338, 441, 83, 59, 771, 681, 475, 740, 558, 324, 789, 191], [337, 50, 751, 32, 216, 275, 322, 332, 720, 204, 726, 538, 690, 484, 758, 145, 5, 386, 470, 688], [399, 130, 381, 329, 650, 752, 371, 777, 680, 605, 280, 700, 256, 428, 26, 685, 551, 3, 294, 170], [520, 186, 447, 119, 579, 316, 710, 695, 493, 368, 474, 534, 524, 101, 566, 593, 220, 581, 487, 358], [749, 791, 718, 427, 308, 355, 261, 503, 781, 193, 118, 309, 531, 112, 672, 366, 234, 9, 413, 177], [30, 437, 701, 377, 747, 452, 218, 27, 419, 473, 215, 84, 575, 714, 477, 545, 102, 472, 11, 734], [22, 203, 372, 717, 504, 393, 52, 426, 326, 526, 499, 167, 736, 624, 169, 109, 508, 185, 171, 8], [48, 330, 518, 451, 795, 519, 492, 618, 236, 562, 532, 323, 206, 424, 379, 388, 439, 178, 453, 106], [100, 597, 367, 354, 158, 176, 285, 298, 537, 708, 793, 644, 637, 64, 67, 290, 395, 530, 780, 82], [616, 339, 396, 284, 209, 595, 600, 799, 325, 405, 387, 227, 550, 258, 776, 141, 703, 262, 693, 315], [347, 592, 522, 260, 770, 228, 622, 139, 601, 361, 253, 469, 99, 214, 75, 152, 135, 51, 283, 583], [748, 656, 383, 45, 20, 364, 800, 491, 497, 588, 166, 415, 664, 56, 123, 626, 244, 732, 217, 633], [587, 225, 416, 13, 38, 612, 599, 442, 138, 53, 466, 606, 272, 133, 609, 231, 651, 619, 662, 194], [730, 569, 640, 502, 189, 496, 341, 511, 623, 549, 578, 417, 548, 25, 213, 237, 69, 61, 448, 455], [485, 148, 173, 63, 634, 182, 723, 336, 295, 54, 411, 687, 560, 391, 289, 555, 160, 738, 737, 552], [359, 120, 89, 184, 598, 352, 663, 198, 229, 731, 282, 528, 561, 68, 128, 85, 505, 117, 434, 661], [74, 16, 445, 92, 660, 95, 480, 754, 299, 657, 692, 147, 208, 81, 165, 641, 302, 643, 116, 221], [655, 745, 287, 712, 108, 137, 607, 197, 292, 673, 161, 591, 576, 201, 668, 761, 243, 510, 463, 269], [144, 78, 156, 602, 93, 421, 467, 517, 210, 553, 621, 527, 715, 614, 462, 798, 219, 70, 40, 385], [79, 250, 136, 373, 750, 21, 129, 115, 772, 126, 222, 254, 546, 652, 725, 539, 763, 684, 678, 676], [431, 23, 446, 766, 31, 230, 357, 390, 111, 127, 603, 696, 91, 580, 57, 699, 251, 767, 46, 124], [713, 608, 162, 582, 132, 542, 757, 658, 631, 649, 143, 636, 2, 277, 513, 436, 476, 33, 146, 590], [304, 610, 729, 744, 774, 721, 180, 574, 39, 342, 638, 384, 667, 183, 55, 41, 17, 639, 728, 458], [627, 523, 297, 375, 682, 557, 212, 719, 565, 625, 515, 742, 541, 265, 792, 174, 544, 585, 702, 423], [121, 410, 604, 327, 760, 255, 533, 589, 459, 242, 409, 296, 468, 317, 223, 37, 429, 307, 768]]"
instance8.vrp,RouteFirstClusterSecond,86178.20869327156,0.06,40,40,,,"[[1, 311, 739, 200, 107, 707, 12, 698, 406, 190, 669, 94, 759, 584, 43, 226, 785, 691, 735, 335, 420], [238, 365, 369, 122, 509, 507, 76, 266, 483, 741, 157, 344, 694, 104, 273, 114, 722, 787, 351, 125], [301, 36, 47, 155, 498, 563, 4, 65, 444, 168, 10, 613, 464, 376, 765, 671, 495, 199, 433, 564], [646, 782, 705, 596, 489, 430, 60, 7, 345, 783, 796, 380, 432, 408, 249, 568, 172, 333, 356, 264], [543, 233, 556, 86, 293, 394, 82, 780, 100, 597, 367, 530, 354, 158, 395, 176, 290, 67, 285, 298], [708, 537, 793, 385, 553, 644, 637, 64, 144, 517, 210, 78, 156, 800, 458, 728, 639, 93, 602, 421], [467, 364, 497, 588, 626, 244, 123, 56, 664, 415, 118, 221, 193, 309, 531, 112, 366, 234, 672, 9], [791, 413, 749, 177, 573, 733, 724, 572, 362, 547, 163, 310, 788, 44, 398, 675, 683, 670, 711, 66], [529, 207, 460, 454, 154, 790, 382, 211, 187, 29, 457, 246, 488, 241, 274, 80, 149, 240, 378, 263], [632, 642, 97, 153, 775, 363, 709, 746, 328, 312, 704, 71, 659, 516, 257, 620, 449, 536, 34, 450], [512, 248, 62, 318, 331, 615, 313, 481, 306, 28, 291, 348, 567, 140, 554, 418, 278, 500, 235, 14], [404, 19, 461, 400, 743, 96, 334, 628, 654, 797, 401, 159, 267, 98, 188, 756, 271, 340, 276, 179], [370, 288, 314, 281, 105, 414, 506, 716, 665, 319, 202, 24, 755, 525, 142, 300, 535, 753, 470, 688], [494, 103, 402, 270, 779, 392, 305, 150, 349, 630, 5, 145, 758, 484, 690, 720, 538, 726, 204, 280], [256, 700, 428, 26, 551, 685, 485, 148, 63, 634, 182, 723, 336, 295, 411, 54, 738, 737, 552, 52], [426, 326, 624, 736, 167, 499, 526, 289, 391, 560, 146, 590, 16, 445, 92, 660, 95, 480, 754, 299], [657, 17, 41, 55, 183, 667, 721, 774, 744, 610, 304, 729, 384, 180, 574, 638, 768, 307, 429, 342], [39, 792, 265, 174, 719, 212, 565, 625, 515, 541, 742, 37, 317, 223, 255, 760, 533, 296, 468, 409], [242, 459, 589, 327, 604, 410, 682, 297, 585, 557, 544, 631, 649, 658, 757, 542, 162, 608, 513, 713], [436, 476, 277, 143, 636, 2, 33, 555, 160, 687, 173, 712, 108, 745, 655, 287, 269, 387, 405, 325], [799, 600, 595, 209, 284, 262, 371, 752, 777, 650, 329, 680, 605, 381, 339, 616, 315, 216, 32, 751], [337, 50, 320, 343, 360, 374, 87, 479, 175, 286, 77, 727, 611, 559, 617, 412, 191, 789, 324, 475], [740, 558, 294, 170, 399, 3, 59, 83, 441, 540, 338, 762, 482, 196, 674, 771, 681, 769, 15, 192], [113, 8, 22, 203, 372, 717, 504, 171, 503, 781, 185, 508, 109, 169, 393, 261, 355, 308, 427, 718], [679, 697, 321, 205, 647, 490, 252, 181, 686, 164, 778, 677, 501, 18, 425, 88, 629, 135, 152, 75], [214, 99, 51, 260, 522, 592, 583, 283, 770, 228, 622, 139, 219, 70, 40, 462, 798, 614, 715, 527], [621, 253, 469, 361, 601, 347, 90, 195, 784, 456, 666, 571, 35, 645, 689, 6, 134, 422, 58, 268], [131, 764, 465, 440, 232, 521, 42, 303, 407, 570, 706, 586, 353, 594, 397, 786, 389, 259, 247, 794], [239, 648, 435, 471, 72, 350, 73, 514, 773, 653, 245, 478, 49, 358, 520, 695, 581, 220, 493, 368], [474, 101, 524, 534, 587, 194, 218, 452, 27, 662, 225, 609, 416, 133, 231, 651, 117, 505, 85, 128], [528, 561, 68, 766, 434, 619, 661, 189, 502, 215, 84, 473, 419, 747, 701, 377, 437, 575, 30, 316], [579, 119, 447, 186, 710, 714, 477, 545, 11, 472, 102, 693, 396, 448, 455, 703, 141, 776, 676, 678], [69, 237, 213, 25, 548, 578, 417, 549, 598, 352, 663, 198, 184, 89, 120, 359, 341, 496, 511, 623], [640, 569, 730, 61, 684, 763, 21, 750, 129, 539, 725, 652, 546, 772, 115, 126, 254, 222, 357, 390], [111, 91, 580, 57, 696, 127, 603, 699, 251, 767, 46, 124, 201, 668, 761, 673, 576, 161, 591, 627], [423, 137, 607, 197, 292, 463, 227, 79, 550, 258, 136, 373, 250, 510, 243, 523, 702, 132, 582, 375], [121, 230, 31, 229, 731, 282, 606, 466, 53, 138, 442, 612, 599, 38, 13, 272, 206, 424, 519, 795], [492, 323, 532, 618, 562, 236, 566, 593, 487, 403, 224, 443, 577, 346, 151, 438, 486, 279, 635, 110], [330, 453, 48, 106, 518, 451, 388, 439, 178, 379, 446, 23, 431, 734, 386, 332, 322, 275, 130, 74], [208, 81, 165, 641, 302, 643, 491, 166, 116, 20, 45, 383, 656, 748, 732, 217, 633, 147, 692]]"
