Instancia,Metodo,Custo,Tempo (s),Qtd Rotas,Qtd Veiculos,Intensificacao,Diversificacao,Solucao
instance7.vrp,Savings,188530.18609622068,0.29,99,99,,,"[[1, 259, 374, 412, 460], [2, 99, 260, 531, 683], [3, 221, 231, 329], [4, 30, 57, 84, 128, 224, 314, 376, 483, 561, 677], [5, 76, 138, 140, 149, 214, 661], [6, 116, 183, 209, 413, 645, 660], [7, 170, 202, 212, 331, 361, 419, 464, 502, 556, 560, 649], [8, 143, 167, 252, 570, 579, 630, 665, 695], [9, 110, 161, 256, 393, 562, 575, 662, 687], [10, 73, 218, 251, 320, 569], [11, 15, 480, 592, 600, 647, 653, 659], [12, 62, 182, 247, 577, 581, 671], [13, 23, 352, 423, 455, 497, 549, 557, 602], [14, 235, 385, 664, 682], [16, 17, 52, 304, 640, 699], [18, 107, 133, 196, 348], [19, 71, 239, 291, 296, 382, 478, 603], [20, 191, 245, 321, 328], [21, 204, 276, 633], [22, 205, 342, 405, 433, 494, 611, 617], [24, 197, 383, 642], [25, 39, 605, 618, 691], [26, 65, 117, 482, 551, 697], [27, 266, 323, 334, 375, 392, 396, 414, 554], [28, 360, 390, 461, 485, 648], [29, 108, 359, 571, 582, 622, 628], [31, 127, 284, 532, 636, 679], [32, 145, 474, 525, 540], [33, 281, 299, 403, 418, 559, 566, 692, 700], [34, 357, 456, 506, 530, 627], [35, 220, 234, 366, 367, 431, 580, 619], [36, 50, 54, 261, 292, 641, 698], [37, 153, 363, 432, 509, 538, 584, 604, 608, 668], [38, 327, 350, 358, 391, 439, 505, 578], [40, 215, 338, 550, 590, 684], [41, 77, 94, 337, 371, 543, 614], [42, 288, 319, 652, 689], [43, 103, 172, 470, 475, 587, 643, 658], [44, 178, 401, 612], [45, 213, 255, 282, 495, 607, 690], [46, 151, 174, 194, 333, 430, 454, 591, 631], [47, 68, 86, 272, 294, 332, 351, 496, 518, 598, 680], [48, 353, 442, 488, 515, 574], [49, 222, 273, 300], [51, 82, 236, 240, 286, 601, 656], [53, 109, 398, 583, 655, 694], [55, 85, 111, 131, 211, 302, 415, 451, 555, 613, 632, 685], [56, 60, 457, 465, 498], [58, 63, 142, 144, 179, 606, 650], [59, 171, 688, 696], [61, 130, 147, 157, 203, 216, 289, 306, 434, 446, 676], [64, 75, 100, 146, 162, 248, 265, 343, 380, 440, 526, 546], [66, 90, 226, 275, 519, 548, 553], [67, 104, 124, 257, 315, 395, 512, 542, 667], [69, 91, 301, 399, 421, 435, 621], [70, 180, 471, 514, 522, 588, 593, 674], [72, 87, 189, 347, 499, 586], [74, 297, 404, 501, 651], [78, 114, 166, 372, 599], [79, 417, 428, 510, 516, 535], [80, 230, 232, 305, 356, 365, 411, 558, 686], [81, 193, 274, 344, 362, 384, 489, 544, 637], [83, 132, 181, 312, 324, 447, 448, 493, 626], [88, 279, 503, 507, 517], [89, 199, 311, 529, 585], [92, 198, 227, 369, 425, 453, 597, 623, 635], [93, 141, 228, 400, 458, 564, 625], [95, 176, 280, 322, 326, 345, 387, 429, 486, 572, 589, 595], [96, 102, 156, 223, 253, 424, 629, 638], [97, 303, 325], [98, 200, 217, 283, 422, 445, 481, 523, 576, 644], [101, 122, 187, 258, 268, 271, 335, 339, 533, 634], [105, 113, 155, 355, 381, 416, 466, 467, 670], [106, 164, 379, 388, 436, 441, 462, 534, 537, 539], [112, 165, 263, 277, 349, 459, 673], [115, 173, 310, 490, 504, 528], [118, 134, 225, 444, 476, 513], [119, 177, 219, 309, 386, 609, 654], [120, 317, 341, 438, 563], [121, 125, 242, 409, 508, 567, 596, 610, 657], [123, 129, 408, 450, 545], [126, 378, 527, 624, 669], [135, 254, 437, 615], [136, 175, 377, 389, 541, 547, 620, 666], [137, 158, 264, 267, 484, 552, 678], [139, 206, 238, 278, 468, 473, 479, 491], [148, 185, 201, 316, 354, 370, 373, 406, 443, 616], [150, 192, 207, 229, 293, 511, 663], [152, 154, 163, 169, 397, 407, 410, 573, 675], [159, 313, 318], [160, 270, 368, 402, 449, 452, 472, 693], [168, 246, 287, 492, 500], [184, 244, 249, 262, 290, 340], [186, 190, 394, 420, 487, 524, 594], [188, 269, 298, 307, 308, 336, 646], [195, 233, 463, 536, 672, 681], [208, 237, 243, 295, 330, 426, 427, 520, 521, 565, 568], [210, 285], [241, 250, 346, 364, 469, 477, 639]]"
instance7.vrp,Insertion,90249.17125395345,4.58,44,44,,,"[[27, 241, 318, 313, 269, 300, 273, 262, 81, 222, 208, 328, 51, 29, 188, 285, 210, 105, 1], [20, 321, 139, 191, 245, 206, 168, 64, 71, 244, 249, 184, 19, 49, 101], [460, 296, 382, 48, 353, 574, 685, 663, 250, 374, 200, 98, 478, 259, 266, 603, 307, 298, 159], [4, 535, 323, 32, 35, 37, 152, 120, 58, 340, 5, 44, 498, 91, 67, 69], [237, 112, 96, 246, 75, 97, 329, 122, 158, 137, 25, 185, 148, 193, 238, 118, 290, 113], [291, 239, 303, 3, 231, 100, 41, 146, 221, 348, 196, 133, 107, 325, 18], [517, 442, 632, 613, 555, 150, 528, 364, 515, 488, 346, 499, 336, 412, 308, 639], [465, 106, 540, 12, 631, 220, 525, 234, 668, 392, 421, 644, 659, 11, 164, 13, 341, 317], [186, 507, 217, 451, 192, 511, 207, 229, 88, 293, 93, 626, 334, 104], [469, 586, 504, 55, 115, 415, 503, 72, 689, 85, 646, 477], [491, 28, 438, 563, 79, 360, 36, 598, 680, 544, 637, 355, 362, 155, 26, 195], [479, 473, 278, 468, 78, 287, 500, 166, 492, 114, 130, 628, 82, 634, 61, 274], [102, 408, 450, 6, 74, 297, 694, 116, 660, 371, 617, 14, 199, 59, 545, 129, 123, 264, 89, 31, 201], [554, 23, 539, 537, 621, 657, 658, 435, 619, 534, 154, 388, 635, 379, 414, 396], [22, 127, 656, 614, 595, 444, 225, 24, 339, 147, 533, 344, 134], [489, 648, 428, 485, 670, 416, 643, 672, 580, 565, 681, 510, 568, 516, 384], [372, 599, 612, 666, 136, 135, 80, 620, 92, 401, 461, 178, 417, 684, 476, 513], [301, 399, 653, 367, 700, 594, 604, 524, 283, 458, 625, 366, 474, 145, 608, 375], [30, 90, 226, 279, 490, 173, 310, 447, 324, 87, 312, 181, 189, 111, 652, 347, 211, 131, 302], [390, 381, 590, 697, 521, 467, 518, 233, 50, 175, 466, 230, 547, 615], [591, 553, 487, 564, 422, 647, 512, 445, 677, 519, 548, 420, 454, 394, 448, 190, 493], [10, 56, 73, 569, 271, 77, 335, 258, 162, 322, 95, 265, 380, 526, 34, 223, 156, 268, 187], [462, 350, 667, 358, 441, 578, 602, 391, 439, 542, 576, 557, 549, 352, 687, 505, 431, 436], [523, 481, 395, 623, 600, 153, 275, 584, 538, 509, 400, 228, 430, 141, 66], [610, 243, 160, 295, 695, 536, 270, 520, 674, 330, 212, 560, 455, 649, 423, 497, 592], [205, 342, 405, 240, 286, 263, 601, 484, 165, 267, 552, 316, 678, 543, 546], [236, 654, 203, 582, 386, 446, 108, 119, 676, 157, 622, 138, 47, 254, 76, 437], [433, 682, 669, 311, 529, 443, 616, 370, 126, 326, 572, 618, 589, 494, 611, 585, 691], [363, 432, 15, 480, 331, 121, 671, 581, 204, 276, 633, 21, 124, 483, 9, 561], [257, 333, 376, 194, 57, 315, 7, 46, 151, 174, 132, 42, 319, 288, 38, 327, 83], [63, 16, 650, 377, 463, 427, 556, 502, 33, 281, 662, 163, 426], [638, 343, 506, 183, 655, 440, 109, 176, 280, 248, 60, 457, 337, 94, 320], [627, 357, 530, 664, 696, 345, 373, 406, 624, 354, 429, 486, 404, 501, 651], [8, 464, 665, 361, 630, 167, 402, 368, 143, 389, 541, 232, 17, 496, 144, 142, 140], [216, 609, 571, 306, 383, 197, 349, 309, 332, 294, 219, 289, 149, 351, 177, 434, 359], [53, 209, 253, 456, 629, 424, 385, 673, 68, 378, 235, 605, 39, 645, 413, 398, 583, 251, 218], [636, 459, 272, 277, 171, 688, 284, 532, 527, 387, 679, 642], [224, 128, 84, 314, 202, 110, 692, 125, 70, 161, 566, 559, 418, 2, 471, 575, 403, 299], [419, 169, 593, 508, 675, 407, 397, 409, 242, 562, 182, 62, 170], [452, 596, 567, 597, 472, 693, 449, 587, 551, 54, 369, 698, 198, 305], [256, 514, 577, 247, 410, 260, 683, 531, 690, 425, 686, 573, 522, 588], [45, 453, 365, 579, 570, 261, 252, 282, 43, 255, 213, 495, 411, 607, 558, 356], [86, 214, 661, 179, 606, 227, 550, 699, 641, 475, 292, 470, 172, 99, 180, 393], [103, 482, 117, 65, 304, 52, 640, 215, 338, 40]]"
instance7.vrp,RouteFirstClusterSecond,95797.61375477677,0.05,46,46,,,"[[1, 105, 210, 285, 188, 27, 241, 318, 269, 29, 300, 51, 273, 262, 328, 208], [20, 222, 19, 184, 249, 244, 18, 71, 291, 239, 64, 75, 97, 303], [3, 107, 329, 122, 246, 96, 193, 148, 137, 185, 25, 158, 264, 102, 123, 129, 545, 59, 199, 14], [617, 408, 450, 6, 74, 297, 116, 223, 526, 638, 343, 627, 501, 404, 651, 589], [494, 682, 611, 585, 433, 543, 614, 691, 371, 546, 595, 205, 678, 316], [342, 405, 240, 165, 552, 267, 484, 601, 263, 642, 679, 636], [284, 532, 126, 527, 378, 387, 345, 696, 664, 429, 486, 618, 572, 326, 443, 616, 624, 370], [406, 373, 354, 529, 311, 669, 34, 660, 357, 530, 506, 456, 253, 629, 209, 413], [398, 583, 109, 53, 380, 440, 655, 183, 424, 645, 39, 605, 235, 385, 688, 171, 459, 673], [286, 216, 609, 571, 582, 203, 119, 676, 157, 622, 108, 138, 47], [254, 76, 437, 236, 225, 24, 339, 444, 656, 533, 147, 135], [136, 80, 620, 666, 612, 178, 684, 417, 598, 648, 489, 36, 360, 544, 637, 355], [79, 362, 155, 563, 438, 28, 26, 491, 195, 341, 13, 164, 540, 11, 525, 220, 234], [668, 392, 375, 608, 301, 399, 421, 653, 367, 700, 594, 604, 524, 283], [564, 458, 548, 487, 420, 454, 553, 625, 366, 474, 145, 591, 493, 190, 394], [448, 30, 66, 90, 226, 141, 430, 228, 400, 519, 677, 445, 422, 512, 481, 395, 647, 576, 523, 542], [439, 557, 549, 623, 423, 497, 649, 455, 592, 600, 153, 275, 538, 584, 509, 561, 9], [432, 363, 15, 480, 671, 581, 204, 276, 21, 633, 124, 483, 257, 333, 194, 315, 57], [7, 151, 46, 174, 170, 128, 84, 224, 314, 376, 202, 62, 182, 161, 566, 559], [418, 2, 403, 242, 169, 409, 397, 407, 675, 508, 567, 596, 630, 472], [45, 356, 597, 686, 573, 683, 531, 690, 558, 411, 607, 495, 213, 255, 43, 282], [252, 570, 579, 365, 425, 167, 449, 587, 551, 369, 54, 641, 475, 292, 261, 699, 550], [227, 606, 179, 661, 214, 86, 272, 68, 294, 332, 309, 197, 383, 349, 277, 219], [289, 177, 434, 359, 446, 140, 650, 144, 496, 17, 232, 541, 389, 142, 63], [16, 175, 50, 233, 518, 295, 695, 160, 243, 610, 672, 643], [521, 467, 416, 670, 485, 390, 461, 381, 590, 697, 547, 92, 401, 599, 372], [476, 513, 500, 166, 492, 114, 130, 628, 82, 634, 134, 22, 344, 127, 31, 89, 201], [274, 473, 479, 278, 61, 78, 468, 287, 680, 384, 516, 621, 657], [658, 568, 510, 428, 681, 565, 436, 619, 154, 388, 435, 534, 462, 441, 578], [602, 687, 505, 580, 431, 391, 358, 350, 667, 352, 560, 330, 674, 427, 426, 33], [502, 556, 281, 299, 662, 163, 121, 70, 125, 212, 692, 110, 331, 520], [270, 463, 536, 377, 466, 230, 615, 539, 23, 414, 554, 396, 537, 379], [659, 644, 635, 12, 631, 334, 626, 93, 511, 192, 451, 217, 115, 499, 55, 85], [689, 72, 415, 207, 229, 88, 293, 503, 279, 490, 173, 310, 302, 131, 211], [347, 652, 324, 447, 87, 312, 189, 111, 83, 181, 42, 319, 288, 38, 327, 132, 336], [646, 504, 586, 150, 528, 364, 632, 442, 685, 515, 488, 346, 613, 555], [469, 477, 308, 412, 639, 48, 374, 663, 250, 517, 574, 353, 200, 382, 98, 478, 266], [259, 4, 67, 91, 535, 498, 37, 152, 120, 58, 44, 113, 5], [290, 340, 118, 237, 81, 139, 321, 191, 245, 206, 168, 325, 133, 348, 196], [221, 100, 41, 146, 10, 56, 187, 258, 335, 77, 271, 569, 73, 320, 94, 337, 60], [248, 280, 95, 176, 265, 322, 694, 156, 268, 162, 457, 251, 218, 231, 238, 112], [317, 465, 106, 35, 32, 323, 104, 186, 507, 296, 603, 307, 298], [69, 313, 159, 460, 49, 101, 654, 386, 306, 149, 351, 305, 198, 698, 402, 368, 143, 464, 665], [419, 361, 452, 693, 453, 410, 522, 588, 575, 577, 247, 514, 256, 471, 180], [260, 99, 593, 562, 393, 8, 470, 172, 482, 103, 117, 65, 52], [304, 640, 215, 338, 40]]"
