Metodo,Custo
RouteFirstClusterSecond,60925.35214339998
Insertion,62503.15604554668
Savings,120902.00405395392
TabuSearch_Completo,253029.0134270246
TabuSearch_Intensificacao,253581.4078803696
TabuSearch_Diversificacao,253736.06741001527
TabuSearch_Simples,254124.95149685288
