Instancia,Metodo,Custo,Tempo (s),Qtd Rotas,Qtd Veiculos,Intensificacao,Diversificacao,Solucao
instance6.vrp,Savings,116557.5218280277,0.23,120,120,,,"[[1, 280, 312, 318, 481], [2, 126, 257, 268, 405, 504, 525], [3, 483, 514, 567], [4, 49, 455, 479, 605], [5, 579, 581, 609], [6, 8, 230, 236, 452, 469], [7, 231, 258, 341, 572], [9, 299, 355, 448, 493], [10, 295, 329, 330, 375, 437], [11, 54, 528, 529, 541, 562, 566], [12, 487, 580], [13, 15, 141, 324, 349, 559], [14, 203, 270, 300, 426, 555], [16, 91, 150, 419, 490, 505], [17, 194, 508, 542, 586], [18, 111, 473, 612], [19, 85, 274, 313, 413], [20, 308, 503], [21, 43, 63, 204, 368, 427, 470, 549], [22, 209, 406, 576], [23, 241, 489], [24, 136, 227, 242, 385, 515, 596], [25, 89, 409, 502], [26, 39, 198, 530, 583], [27, 74, 279, 326, 467, 498, 587], [28, 264, 602], [29, 371, 390, 534, 590], [30, 163, 190, 316, 585], [31, 173, 182, 222, 304, 314, 396, 412], [32, 216, 353, 557], [33, 218, 255, 284, 420, 571], [34, 531, 574], [35, 101, 336, 372, 383, 425, 446], [36, 53, 219, 521], [37, 72, 415, 444, 544], [38, 128, 169, 228, 422, 440, 494, 553], [40, 172, 196, 238, 475, 478], [41, 212, 366, 392, 401, 414], [42, 60, 373, 484], [44, 90, 243, 485, 547, 561], [45, 288, 496], [46, 160, 369, 500], [47, 50, 151, 592, 606], [48, 93, 139, 432, 568], [51, 106, 114, 153, 582], [52, 253, 285, 364, 564], [55, 249, 275, 298, 370, 424], [56, 250, 346, 347, 501], [57, 176, 538, 591], [58, 123, 283, 387, 599, 603], [59, 421, 488, 532], [61, 70, 125, 315, 442, 511], [62, 67, 244, 246, 447, 456, 516], [64, 78, 80, 197, 417, 546], [65, 310, 317, 322], [66, 195, 306, 403, 410, 462], [68, 81, 83, 155, 266, 303, 480], [69, 292, 536], [71, 573, 575], [73, 134, 168, 248, 482, 563], [75, 143, 162, 199, 428, 611], [76, 92, 290, 338, 379, 402], [77, 235, 388, 472, 527], [79, 108, 287, 457], [82, 252, 293, 333, 433, 439], [84, 116, 221, 418, 499], [86, 96, 608], [87, 154, 171, 272, 309, 584], [88, 233, 339, 438, 449, 453, 474, 506], [94, 149, 237, 600], [95, 265, 273, 436, 520, 610], [97, 259, 269, 296, 327, 408, 507], [98, 146, 229, 302, 358, 382, 594], [99, 240, 276, 407, 441, 458], [100, 129, 459, 461, 463, 552], [102, 395, 404], [103, 215, 225, 367, 384, 465], [104, 138, 226, 540], [105, 351, 495, 560], [107, 185, 320, 593], [109, 311, 381], [110, 132, 152, 359, 443, 533], [112, 127, 161, 348, 350, 365, 468], [113, 156, 523, 537], [115, 147, 217, 325, 431, 466, 492], [117, 157, 159, 281, 398, 460, 551, 570, 595, 598], [118, 140, 170, 464, 477, 589, 607], [119, 328, 429, 578], [120, 188, 192, 354, 389, 391, 545], [121, 142, 193, 278, 343, 411], [122, 167, 208, 539], [124, 214, 362, 454, 569], [130, 133, 260, 356, 434, 548], [131, 164, 202, 380, 601], [135, 291, 357, 524], [137, 184, 186, 394, 476, 518, 543, 556], [144, 234, 239, 297, 558, 565], [145, 180, 509, 588], [148, 177, 256, 399, 400, 445], [158, 220, 340, 342, 386], [165, 289, 361, 535], [166, 294, 335, 430, 510], [174, 282, 451, 512], [175, 377, 517], [178, 251, 267, 323, 526], [179, 247, 301, 321], [181, 497], [183, 206, 423, 597, 604], [187, 261, 345, 352], [189, 286, 363, 471], [191, 254, 378, 519, 522], [200, 245, 360, 513, 554], [201, 277, 435], [205, 224, 374, 550], [207, 271, 332, 337, 577], [210, 211, 416, 491], [213, 262, 393, 397, 486], [223, 305, 334], [232, 319], [263, 307, 331, 344, 376, 450]]"
instance6.vrp,Insertion,88849.62235696682,1.29,62,62,,,"[[414, 4, 321, 211, 13, 499, 201, 594, 513, 554, 446, 548, 310, 65, 604, 1], [411, 232, 55, 131, 507, 609, 88, 492, 424, 2, 189, 376], [76, 402, 445, 223, 24, 519, 444, 148, 312, 318, 280, 481, 561], [510, 82, 335, 130, 331, 344, 597, 77, 450, 187, 317], [322, 233, 164, 564, 18, 421, 598, 107, 120, 207, 505, 319, 142, 121], [506, 471, 345, 213, 25, 147, 537, 306, 403, 555, 410, 462, 261, 512, 10], [307, 263, 560, 293, 105, 295, 75, 404, 526, 360, 245, 200, 569], [44, 338, 379, 224, 374, 435, 277, 359, 592, 112, 550, 205], [19, 193, 511, 337, 117, 91, 381, 136, 61, 305, 334, 101], [346, 275, 249, 62, 535, 67, 104, 494, 553], [394, 278, 227, 586, 501, 191, 290, 92, 522], [329, 97, 259, 484, 38, 396, 412, 42, 364, 545, 52, 271], [439, 607, 333, 433, 172, 12, 330, 367, 135, 86, 524, 40, 430], [79, 458, 457, 210, 20, 108, 287, 441, 401, 137], [165, 474, 53, 181, 27, 456, 361, 581, 516, 289, 115], [577, 311, 109, 21, 46, 253, 332], [339, 438, 566, 370, 298, 286, 363, 352], [294, 166, 383, 35, 425, 323, 134, 252, 520], [98, 533, 605, 41, 84, 3, 392, 251, 178, 179, 267, 73], [575, 195, 220, 174, 282, 235, 448, 451, 386, 342, 66], [478, 175, 377, 517, 234, 423, 203, 565, 14, 144], [254, 378, 256, 198, 399, 90, 400, 547, 177, 39, 26], [188, 408, 601, 440, 269, 532, 466, 431, 325, 587, 217], [373, 527, 126, 525, 257, 588, 397, 493, 486, 36], [546, 64, 285, 87, 31, 303, 222, 16, 391], [85, 549, 43, 442, 470, 70, 274, 343, 347, 56], [606, 47, 122, 382, 94, 358, 102, 168, 563], [127, 37, 301, 212, 366, 544, 567, 247, 146], [183, 270, 206, 300, 426, 489, 578, 409, 502], [371, 288, 58, 242, 123, 596, 515, 591, 538, 176, 57, 496, 45], [449, 262, 393, 388, 268, 113, 405, 180, 509, 145, 497, 453], [260, 589, 118, 477, 351, 495, 103, 133, 143, 162], [491, 416, 572, 469, 236, 468, 365, 503, 6, 308], [357, 48, 238, 558, 297, 475, 463, 552], [336, 34, 574, 372, 434, 611, 428, 199, 437, 356], [244, 447, 5, 579, 59, 185, 246, 593, 202, 380], [173, 389, 354, 78, 417, 595, 570, 157, 182], [543, 229, 302, 110, 124, 50, 600, 362, 539, 214, 454, 167], [313, 192, 314, 304, 296, 60, 228, 422, 327, 74], [158, 71, 573, 119, 429, 241, 89, 340], [500, 160, 369, 266, 576, 159, 490, 480, 413], [196, 291, 459, 432, 129, 100, 265, 273, 30, 95, 239], [184, 208, 395, 557, 353, 32, 580, 216, 482, 248], [485, 583, 231, 341, 230, 243, 7], [138, 540, 602, 106, 467, 51, 498], [531, 487, 375, 384, 571, 255, 225, 215], [350, 556, 186, 348, 161, 240, 99, 276, 407], [114, 320, 128, 169, 80, 584, 309, 197], [152, 116, 221, 479, 49, 455, 443, 151, 132, 536], [315, 125, 68, 81, 427, 83, 603, 250], [170, 464, 163, 585, 316, 190, 436, 610, 23], [418, 559, 324, 15, 483, 452, 8, 258, 530, 17], [69, 292, 590, 140, 608, 568, 461], [472, 523, 521, 529, 11, 612, 219, 156, 504, 328], [272, 171, 154, 398, 460, 419, 281], [209, 488, 226, 264, 279, 355, 153, 582, 326, 28], [514, 476, 141, 349, 415, 72, 237, 149], [542, 508, 155, 368, 204, 599, 387, 283, 385], [420, 33, 218, 284, 534, 390, 139, 93], [541, 562, 551, 406, 22, 194, 63, 150], [111, 528, 54, 473, 96, 29, 465], [9, 299, 518]]"
instance6.vrp,RouteFirstClusterSecond,71390.74827054255,0.03,65,65,,,"[[1, 604, 446, 554, 513, 594, 499, 569, 201, 200, 245], [360, 73, 134, 563, 168, 102, 358, 382], [94, 122, 167, 47, 454, 124, 214, 362, 50], [151, 592, 600, 237, 149, 557, 395, 208, 539, 482, 248, 216], [32, 12, 487, 580, 101, 34, 531, 574, 10, 295, 428, 611], [434, 356, 199, 437, 105, 103, 495, 351, 215, 384, 367], [225, 477, 292, 536, 170, 140, 568, 139, 432, 93], [459, 461, 69, 291, 135, 196, 118, 589, 133], [260, 143, 162, 607, 333, 433, 524, 293, 40, 439], [75, 335, 560, 263, 307, 82, 130, 510, 310, 65, 548, 414], [4, 321, 205, 280, 318, 312, 44, 338, 26, 379, 39, 177], [547, 254, 519, 378, 496, 45, 501, 347, 343], [227, 278, 191, 290, 92, 522, 305], [24, 193, 19, 334, 223, 148, 481, 445, 402, 76], [561, 411, 232, 55, 131, 507, 609, 88, 492, 424, 506, 471], [322, 115, 165, 289, 147, 217, 339, 370, 298], [363, 352, 77, 286, 566, 438, 474, 449, 453, 493, 262], [393, 235, 388, 268, 588, 257, 537, 525, 451, 386, 527, 126], [36, 486, 397, 282, 174, 220, 158, 573], [71, 113, 472, 405, 504, 523, 156, 180, 509, 521, 529], [541, 562, 582, 448, 153, 355, 114, 74, 279, 264, 28], [602, 106, 467, 51, 138, 498, 466], [431, 325, 587, 27, 456, 361, 535, 581, 67], [62, 494, 104, 516, 233, 553, 164, 249], [107, 120, 207, 505, 142, 121, 319, 271], [545, 598, 52, 253, 332, 577, 337, 117, 109], [311, 381, 85, 549, 56, 136, 61, 511], [21, 46, 413, 500, 313, 160, 369, 576, 480], [159, 490, 281, 398, 460, 551, 419], [150, 303, 266, 315, 125, 586, 68, 470, 442, 70, 43], [274, 346, 603, 250, 242, 123, 385, 283], [387, 599, 83, 427, 81, 155, 204, 368, 63], [508, 542, 22, 209, 406, 17, 194, 515, 596, 58, 288, 57], [176, 538, 591, 198, 530, 231, 243], [7, 572, 416, 491, 468, 365, 503, 308], [6, 211, 469, 8, 452, 236, 230, 556, 350, 407, 567, 276, 99], [240, 348, 161, 418, 221, 559, 349, 324, 15], [141, 518, 476, 514, 394, 3, 483, 186, 543, 415, 72], [116, 444, 184, 544, 366, 212, 301, 392, 37, 127, 84, 41, 605], [533, 98, 178, 179, 251, 146], [247, 229, 302, 110, 132, 359, 443, 455, 49], [479, 152, 606, 267, 323, 526, 425, 383, 35, 166, 294], [252, 404, 430, 331, 344, 376, 187, 450], [317, 189, 2, 512, 345, 462, 261, 410, 555], [403, 14, 565, 597, 234, 239, 475, 297, 30, 273, 265], [558, 100, 129, 585, 316, 190, 163], [436, 95, 423, 610, 520, 206, 270, 203, 300, 426], [489, 241, 23, 578, 429, 328, 119, 89, 409], [340, 502, 575, 195, 306, 342, 66, 25, 213], [144, 517, 377, 175, 478, 552, 463, 357], [86, 172, 48, 238, 590, 464, 33], [420, 571, 284, 255, 390, 534, 218, 29, 371], [96, 608, 465, 329, 375, 330, 336, 372, 353, 112, 401], [79, 277, 435, 550, 374, 224, 457, 210, 108, 287], [20, 441, 458, 137, 13, 400, 399, 485, 583], [90, 341, 258, 256, 16, 222, 182, 173, 157, 91], [31, 391, 285, 64, 546, 87, 188, 314, 304], [296, 327, 60, 373, 192, 354, 78, 417, 197], [309, 584, 272, 171, 154, 570], [595, 389, 80, 228, 169, 422, 38, 185, 320], [246, 447, 244, 593, 440, 408, 601, 380, 202, 269, 532], [5, 579, 59, 421, 128, 488, 226, 540, 326, 181], [145, 18, 219, 53, 612, 473, 11, 111, 528], [54, 9, 299, 497, 484, 396, 412, 259, 97, 42], [364, 564, 275, 183]]"
